Frequency,Station Call Letters,Station City,Station State/Province,Station Country,Concatenated Station Location,Station Lat,Station Long
1630,XEUT,Tijuana,Baja California,Mexico,"Tijuana, Baja California, Mexico",32.53174,-117.019529
1650,CINA,Mississauga,ON,Canada,"Mississauga, ON, Canada",43.588473,-79.643658
1650,CKZW,Montreal,QC,Canada,"Montreal, Canada",45.50888,-73.561668
1660,WGIT,Canovanas,DX,Puerto Rico,"Canovanas, Puerto Rico",18.333007,-65.887296
1670,CJEU,Gatineau,QC,Canada,"Gatineau, QC, Canada",45.427766,-75.710976
1670,XEANAH,Huixquilucan,Estado de México,Mexico,"Huixquilucan, Estado de México, Mexico",19.370184,-99.358157
1670,XEFCR,Reynosa,Tamaulipas,Mexico,"Reynosa, Tamaulipas, Mexico",26.092837,-98.27795
1690,CJLO,Montreal,QC,Canada,"Montreal, Canada",45.50888,-73.561668
1690,CHTO,Toronto,ON,Canada,"Toronto, Canada",43.6532,-79.3832
1690,CHTO,Toronto,ON,Canada,"Toronto, Canada",43.6532,-79.3832
1700,XEPE,Tijuana,Baja California,Mexico,"Tijuana, Baja California, Mexico",32.53174,-117.019529
